year,CUUR0000SA0,CUUR0000SAM,CUUR0000SEMD01,CUUR0000SEEB01,CUUR0000SEEA,CUUR0000SEEB03,CUUR0000SAH1,CUUR0000SAF11,CUUR0000SETA01,CUUR0000SEHF01,CUUR0000SAA,CUUR0000SERA01,CUUR0000SERE01,CUUR0000SEEE01,CUUR0000SEEE02,CUUR0000SEED03,CUUR0000SERA02,CUUR0000SEHJ
1947,22.325,13.542,,,,,,25.842,,,39.858,,,,,,,
1948,24.042,14.375,,,,,,28,,,42.508,,,,,,,
1949,23.808,14.842,,,,,,26.9,,,40.833,,,,,,,
1950,24.067,15.117,,,,,,27.25,,,40.283,,,,,,,
1951,25.958,15.833,,,,,,30.308,,,43.925,,,,,,,
1952,26.55,16.7,,,,,,30.867,,27.65,43.45,,,,,,,
1953,26.767,17.292,,,,,22,30.283,47.25,27.992,43.175,,,,,,,
1954,26.85,17.825,,,,,22.483,30.125,46.508,28.142,43.017,,,,,,,
1955,26.775,18.242,,,,,22.75,29.508,44.875,28.458,42.883,,,,,,,
1956,27.183,18.908,,,,,23.125,29.683,46.142,28.575,43.75,,,,,,,
1957,28.092,19.683,,,,,23.958,30.642,48.542,28.717,44.5,,,,,,,
1958,28.858,20.625,,,,,24.467,31.975,50.108,29.075,44.675,,,,,,,
1959,29.15,21.492,,,,,24.733,31.208,52.242,29.492,45.025,,,,,,,
1960,29.575,22.25,,,,,25.233,31.492,51.567,29.85,45.7,,,,,,,
1961,29.892,22.925,,,,,25.45,31.758,51.558,29.9,46.058,,,,,,,
1962,30.25,23.533,,,,,25.725,31.983,51.358,29.95,46.317,,,,,,,
1963,30.625,24.092,,,,,26.067,32.383,51.05,29.942,46.883,,,,,,,
1964,31.017,24.583,,,,,26.5,32.775,50.908,29.783,47.283,,,,,,,
1965,31.508,25.183,,,,,26.992,33.517,49.792,29.658,47.733,,,,,,,
1966,32.458,26.3,,,,,27.8,35.242,48.892,29.667,49.017,,,,,,,
1967,33.358,28.15,,,33.683,,28.767,35.117,49.35,29.925,51.017,9760.992,,,,,,
1968,34.783,29.858,,,35.45,,30.133,36.25,50.692,30.192,53.742,9726.917,,,,,,
1969,36.683,31.925,,,37.4,,32.575,38.025,51.517,30.75,56.833,9711.483,,,,,,50.908
1970,38.825,33.95,,,38.783,,35.542,39.925,53.133,31.783,59.175,9722.858,,,,,,52.967
1971,40.492,36.15,,,41.433,,37.025,40.892,55.275,33.883,61.092,9761.792,,,,,,54.575
1972,41.817,37.317,,,44.15,,38.675,42.708,54.792,35.575,62.358,9704.2,,,,,,55.525
1973,44.4,38.758,,,45.567,,40.475,49.667,54.808,37.367,64.642,9560.642,,,,,,57.425
1974,49.308,42.367,,,47.225,,44.408,57.042,57.983,44.125,69.433,9649.05,,,,,,62.367
1975,53.817,47.475,,,50.275,,48.792,61.75,62.983,49.958,72.525,9909.417,,,,,,67.35
1976,56.908,51.992,,,53.65,,51.475,63.058,66.967,53.133,75.242,10035.942,,,,,,69.75
1977,60.608,56.958,,,56.9,,54.95,66.8,70.525,56.65,78.608,9917.533,,,,,,72.383
1978,65.233,61.767,,59.908,61.625,,60.492,73.833,75.9,60.833,81.367,9910.233,75.525,,,,,76.075
1979,72.575,67.483,,64.667,65.692,,68.9,81.817,81.925,65.533,84.933,10046.492,79.817,,,,,81.208
1980,82.408,74.875,,70.833,71.392,,80.992,88.358,88.467,75.833,90.942,10183.558,86.55,,,,,88.033
1981,90.925,82.925,,79.625,80.267,,90.483,94.817,93.867,87.208,95.275,10266.292,93.233,,,,,93.8
1982,96.5,92.55,,90.325,90.942,,96.892,98.083,97.475,95.825,97.775,10134.892,98.567,,,,,97.717
